problem,path,artist_folder,file_count_in_folder,tag_title,tag_artist,tag_album,tag_album_artist,probable_source_album,probable_track_title,duration_seconds
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/When You Awake/Unknown Album/A Musical History [CD 3] - T.mp3,When You Awake,1,A Musical History [CD 3] - T,04_When_You_Awake_,,,A Musical History,When You Awake,195
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Whispering Pines/Unknown Album/A Musical History [CD 3] - T.mp3,Whispering Pines,1,A Musical History [CD 3] - T,06_Whispering_Pines_,,,A Musical History,Whispering Pines,239
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Who Do You Love/Unknown Album/A Musical History [CD 1] - R.mp3,Who Do You Love,1,A Musical History [CD 1] - R,01_Who_Do_You_Love_,,,A Musical History,Who Do You Love,162
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Will The Circle Be Unbroke/Unknown Album/A Musical History [CD 1] - T.mp3,Will The Circle Be Unbroke,1,A Musical History [CD 1] - T,25_Will_The_Circle_Be_Unbroke,,,A Musical History,Will The Circle Be Unbroke,55
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Words And Numbers (Song Sk/Unknown Album/A Musical History [CD 1] - T.mp3,Words And Numbers (Song Sk,1,A Musical History [CD 1] - T,18_Words_And_Numbers_(Song_Sk,,,A Musical History,Words And Numbers (Song Sk,253
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/Yazoo Street Scandal/Unknown Album/A Musical History [CD 2] - T.mp3,Yazoo Street Scandal,1,A Musical History [CD 2] - T,14_Yazoo_Street_Scandal_,,,A Musical History,Yazoo Street Scandal,236
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/You Don't Come Through (So/Unknown Album/A Musical History [CD 1] - T.mp3,You Don't Come Through (So,1,A Musical History [CD 1] - T,19_You_Don't_Come_Through_(So,,,A Musical History,You Don't Come Through (So,123
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/You Know I Love You/Unknown Album/A Musical History [CD 1] - R.mp3,You Know I Love You,1,A Musical History [CD 1] - R,02_You_Know_I_Love_You_,,,A Musical History,You Know I Love You,165
unknown_album_shard,/Users/roncompton/Music/RoseMusicWork/Music/charlie & ellie/Unknown Album/01.mp3,charlie & ellie,1,01,charlie & ellie,,,,charlie & ellie,198
malformed_album_track,/Users/roncompton/Music/RoseMusicWork/Music/Various Artists/A Musical History/A Musical History [CD 1] - T (15).mp3,Various Artists,,A Musical History [CD 1] - T,"Tell Me, Momma",A Musical History,"Tell Me, Momma",A Musical History,"Tell Me, Momma",246
